21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_SEN_SOLAR
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_SEN_SOLAR (sheets/solar_sensor.yaml, портов 3)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_SEN_COND
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_SEN_COND (sheets/condensate_sensor.yaml, портов 3)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_OUT
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_OUT (sheets/power_outputs.yaml, портов 6)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_ACT
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_ACT (sheets/actuators.yaml, портов 25)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_BACKLIGHT
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_BACKLIGHT (sheets/backlight.yaml, портов 2)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: VCC_12V (POWER)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: VCC_5V (POWER)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: VCC_3V3 (POWER)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: VDDA_3V3 (POWER)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: GND (GND)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: NRST (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: BOOT0 (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: SWDIO (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: SWCLK (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: BTN_DEFROST_GLASS (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: BTN_FACE (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: BTN_FEET (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: BTN_DRY_GLASS (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: BTN_AC (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: BTN_RECIRC (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: LED_DEFROST_GLASS_DRV (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: LED_FACE_DRV (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: LED_FEET_DRV (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: LED_DRY_GLASS_DRV (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: LED_AC_DRV (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: LED_RECIRC_DRV (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: TEMP_SET_ADC (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: FAN_SEL_ADC (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: NTC_CABIN (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: NTC_HEAT_W (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: NTC_HEAT (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: SOLAR_RAW (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: SOLAR_ADC (ANALOG_SIGNAL)
