15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] [U1] [64] t_connect candidates=186 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs Cell(col=45, row=63) → Cell(col=45, row=62)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs done steps=2 cells=2
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [64] t_junction target=Cell(col=45, row=62) try=1
15:45:34 | WARNING | eda.router             | [root] [VCC_3V3] OCCUPY_OVERLAP cell=Cell(col=45, row=64) existing_net=VCC_12V new_net=VCC_3V3 existing_wire=X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V new_wire=U1:64 -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [64] stub_in page=(57.15,82.55) dir=up steps=2 tip=Cell(col=45, row=63) tip_page=(57.15,80.01)
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [64] route up ×1
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [64] wire U1:64 -> T segments=1 cells=4
15:45:34 | INFO    | eda.router             | [root] [-] [U1] [64] t_junction recorded net=VCC_3V3 target=Cell(col=45, row=62) host=U1:48 -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [64] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [1] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] [U1] [1] t_connect candidates=188 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs Cell(col=37, row=63) → Cell(col=43, row=63)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs done steps=73 cells=9
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [1] t_junction target=Cell(col=43, row=63) try=1
15:45:34 | WARNING | eda.router             | [root] [VCC_3V3] OCCUPY_OVERLAP cell=Cell(col=37, row=64) existing_net=VCC_12V new_net=VCC_3V3 existing_wire=X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V new_wire=U1:1 -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [1] stub_in page=(46.99,82.55) dir=up steps=2 tip=Cell(col=37, row=63) tip_page=(46.99,80.01)
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [1] route up ×1, right ×6, down ×1
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [1] wire U1:1 -> T segments=3 cells=11
15:45:34 | INFO    | eda.router             | [root] [-] [U1] [1] t_junction recorded net=VCC_3V3 target=Cell(col=43, row=63) host=U1:48 -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [1] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [FB1] [1] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] [FB1] [1] t_connect candidates=199 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs Cell(col=237, row=99) → Cell(col=184, row=99)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs done steps=5559 cells=54
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [FB1] [1] t_junction target=Cell(col=184, row=99) try=1
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [FB1] [1] stub_in page=(300.99,127.00) dir=up steps=1 tip=Cell(col=237, row=99) tip_page=(300.99,125.73)
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [FB1] [1] route left ×53
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [FB1] [1] wire FB1:1 -> T segments=1 cells=55
15:45:34 | INFO    | eda.router             | [root] [-] [FB1] [1] t_junction recorded net=VCC_3V3 target=Cell(col=184, row=99) host=C5:1 -> C6:1
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [FB1] [1] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [R1] [1] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] [R1] [1] t_connect candidates=253 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs Cell(col=211, row=98) → Cell(col=211, row=99)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs done steps=5 cells=2
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [R1] [1] t_junction target=Cell(col=211, row=99) try=1
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [R1] [1] stub_in page=(267.97,127.00) dir=up steps=2 tip=Cell(col=211, row=98) tip_page=(267.97,124.46)
